GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;;;;;;;;;
Libro Auxiliar entre el 01/01/2026 y el 31/03/2026;;;;;;;;;
Elaborado Bajo Normas Locales;;;;;;;;;
Inventario;Cuenta;Tercero;Fecha;Nota;Cheque;Doc Num;Débitos;Créditos;Saldo
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CAJA REGISTRADORA C-280;;(GCG) dp 96;0,00;15.300,00;-367.200,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CAJA REGISTRADORA C-280;;(GCG) dp 97;0,00;15.300,00;-382.500,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CAJA REGISTRADORA C-280;;(GCG) dp 98;0,00;15.300,00;-397.800,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;397.800,00;-397.800,00
Total CAJA REGISTRADORA C-280 ACTIF-098;;;;;;;1.020.000,00;397.800,00;622.200,00
CALENTADOR OKA 5,5 L ACTIF-068 CALENTADOR OKA 5,5 L;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;800.000,00;0,00;800.000,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;800.000,00;0,00;800.000,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;246.000,00;-246.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CALENTADOR OKA 5,5 L;;(GCG) dp 96;0,00;6.000,00;-252.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CALENTADOR OKA 5,5 L;;(GCG) dp 97;0,00;6.000,00;-258.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CALENTADOR OKA 5,5 L;;(GCG) dp 98;0,00;6.000,00;-264.000,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;264.000,00;-264.000,00
Total CALENTADOR OKA 5,5 L ACTIF-068 CALENTADOR OKA 5,5 L;;;;;;;800.000,00;264.000,00;536.000,00
CAMARA TIPO  BALA EXTERIOR  2 MPX ACTIF-035 CAMARA TIPO  BALA EXTERIOR  2 MPX;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;260.000,00;0,00;260.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;260.000,00;0,00;260.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;234.000,00;-234.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;234.000,00;-234.000,00
Total CAMARA TIPO  BALA EXTERIOR  2 MPX ACTIF-035 CAMARA TIPO  BALA EXTERIOR  2 MPX;;;;;;;260.000,00;234.000,00;26.000,00
CAMARA TIPO DOMO DE INTERIOR 2 MPX ACTIF-034 CAMARA TIPO DOMO DE INTERIOR 2 MPX;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;450.000,00;0,00;450.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;450.000,00;0,00;450.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;405.000,00;-405.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;405.000,00;-405.000,00
Total CAMARA TIPO DOMO DE INTERIOR 2 MPX ACTIF-034 CAMARA TIPO DOMO DE INTERIOR 2 MPX;;;;;;;450.000,00;405.000,00;45.000,00
CAMION CHEVROLET NLR AC E6 ACTIF-097;154008 CAMIONES, VOLQUETAS Y FURGONES;;31/12/2025;SALDO INICIAL;;;105.798.319,00;0,00;105.798.319,00
;Total 154008 CAMIONES, VOLQUETAS Y FURGONES;;;;;;105.798.319,00;0,00;105.798.319,00
;159235 FLOTA Y EQUIPO DE TRANSPORTE;;31/12/2025;SALDO INICIAL;;;0,00;19.043.688,00;-19.043.688,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CAMION CHEVROLET NLR AC E6;;(GCG) dp 96;0,00;793.487,00;-19.837.175,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CAMION CHEVROLET NLR AC E6;;(GCG) dp 97;0,00;793.487,00;-20.630.662,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CAMION CHEVROLET NLR AC E6;;(GCG) dp 98;0,00;793.487,00;-21.424.149,00
;Total 159235 FLOTA Y EQUIPO DE TRANSPORTE;;;;;;0,00;21.424.149,00;-21.424.149,00
Total CAMION CHEVROLET NLR AC E6 ACTIF-097;;;;;;;105.798.319,00;21.424.149,00;84.374.170,00
CAMIONETA FORD RANGER LIMITED ANF4 ACTIF-128;154005 AUTOS, CAMIONETAS Y CAMPEROS;;31/12/2025;SALDO INICIAL;;;220.692.148,00;0,00;220.692.148,00
;Total 154005 AUTOS, CAMIONETAS Y CAMPEROS;;;;;;220.692.148,00;0,00;220.692.148,00
;159235 FLOTA Y EQUIPO DE TRANSPORTE;;31/12/2025;SALDO INICIAL;;;0,00;24.827.865,00;-24.827.865,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CAMIONETA FORD RANGER LIMITED ANF4;;(GCG) dp 96;0,00;1.655.191,00;-26.483.056,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CAMIONETA FORD RANGER LIMITED ANF4;;(GCG) dp 97;0,00;1.655.191,00;-28.138.247,00
